customer_id,cohort,acquisition_date,order_date,order_amount
1,2025-07,2025-07-11,2025-07-11,37.52
1,2025-07,2025-07-11,2025-07-15,20.07
1,2025-07,2025-07-11,2025-07-23,43.37
2,2025-07,2025-07-21,2025-07-21,35.08
3,2025-07,2025-07-02,2025-07-02,14.94
4,2025-07,2025-07-03,2025-07-03,69.22
4,2025-07,2025-07-03,2025-07-29,51.31
5,2025-07,2025-07-18,2025-07-18,26.1
5,2025-07,2025-07-18,2025-07-21,51.03
6,2025-07,2025-07-12,2025-07-12,54.83
6,2025-07,2025-07-12,2025-07-30,50.27
7,2025-07,2025-07-02,2025-07-02,78.79
8,2025-07,2025-07-30,2025-07-30,6.68
8,2025-07,2025-07-30,2025-08-05,11.08
8,2025-07,2025-07-30,2025-08-15,9.29
9,2025-07,2025-07-02,2025-07-02,26.76
9,2025-07,2025-07-02,2025-07-04,11.8
9,2025-07,2025-07-02,2025-07-15,41.99
10,2025-07,2025-07-14,2025-07-14,12.31
10,2025-07,2025-07-14,2025-07-16,21.23
10,2025-07,2025-07-14,2025-07-21,12.96
11,2025-07,2025-07-03,2025-07-03,21.17
12,2025-07,2025-07-18,2025-07-18,33.73
13,2025-07,2025-07-14,2025-07-14,12.32
14,2025-07,2025-07-02,2025-07-02,21.04
14,2025-07,2025-07-02,2025-11-25,13.79
14,2025-07,2025-07-02,2025-12-17,32.63
15,2025-07,2025-07-04,2025-07-04,31.25
15,2025-07,2025-07-04,2025-07-11,13.82
15,2025-07,2025-07-04,2025-07-22,18.86
15,2025-07,2025-07-04,2025-07-24,38.46
15,2025-07,2025-07-04,2025-07-24,36.84
16,2025-07,2025-07-31,2025-07-31,54.77
17,2025-07,2025-07-02,2025-07-02,18.77
17,2025-07,2025-07-02,2025-07-20,3.26
18,2025-07,2025-07-19,2025-07-19,22.71
18,2025-07,2025-07-19,2025-07-31,16.49
18,2025-07,2025-07-19,2025-08-19,31.63
18,2025-07,2025-07-19,2025-08-25,64.35
19,2025-07,2025-07-02,2025-07-02,37.63
20,2025-07,2025-07-18,2025-07-18,52.47
20,2025-07,2025-07-18,2025-07-22,65.5
20,2025-07,2025-07-18,2025-07-27,38.64
20,2025-07,2025-07-18,2025-08-14,99.31
21,2025-07,2025-07-14,2025-07-14,11.7
22,2025-07,2025-07-05,2025-07-05,25.99
23,2025-07,2025-07-18,2025-07-18,9.91
24,2025-07,2025-07-04,2025-07-04,13.33
24,2025-07,2025-07-04,2025-07-22,16.79
24,2025-07,2025-07-04,2025-08-12,14.41
24,2025-07,2025-07-04,2025-08-20,14.12
25,2025-07,2025-07-27,2025-07-27,10.22
25,2025-07,2025-07-27,2025-07-30,34.91
25,2025-07,2025-07-27,2025-08-01,9.7
25,2025-07,2025-07-27,2025-08-17,13.87
26,2025-07,2025-07-19,2025-07-19,19.78
27,2025-07,2025-07-19,2025-07-19,14.21
28,2025-07,2025-07-21,2025-07-21,9.45
28,2025-07,2025-07-21,2025-07-27,29.3
28,2025-07,2025-07-21,2025-08-01,20.99
29,2025-07,2025-07-04,2025-07-04,36.36
29,2025-07,2025-07-04,2025-07-21,24.7
30,2025-07,2025-07-23,2025-07-23,16.84
31,2025-07,2025-07-03,2025-07-03,41.06
32,2025-07,2025-07-19,2025-07-19,18.36
33,2025-07,2025-07-02,2025-07-02,26.17
34,2025-07,2025-07-20,2025-07-20,13.93
35,2025-07,2025-07-07,2025-07-07,2.59
36,2025-07,2025-07-16,2025-07-16,63.69
